"フィールド名/Field Name","日本語表示名称/Japanese Display Name","英語表示名称/English Display Name","XML属性/XML Attribute","型/Type","表示回数0回のレコード取得指定可否/Supports Zero Impressions","組合せ不可フィールド/Not compatible fields","動作区分/Behavior Type","日本語表示値/Japanese display values","英語表示値/English display values","備考/Note"
"TITLE2","タイトル2","Title2","title2","STRING","true",,"Attribute","","",
"TITLE3","タイトル3","Title3","title3","STRING","true",,"Attribute","","",
"DIRECTORY1","ディレクトリ1","Directory1","directory1","STRING","true",,"Attribute","","",
"DIRECTORY2","ディレクトリ2","Directory2","directory2","STRING","true",,"Attribute","","",
"LABELS","ラベル","Labels","labels","STRING","true",,"Attribute","","",
"LABELS_JSON","ラベル(JSON)","Labels(JSON)","labelsJson","STRING","true",,"Attribute","","",
"ABSOLUTE_TOP_IMPRESSION_PERCENTAGE","インプレッションにおけるページ最上部の割合","Search absolute top impression rate","absoluteTopImpressionPercentage","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"TOP_IMPRESSION_PERCENTAGE","インプレッションにおけるページ上部の割合","Search top impression rate","topImpressionPercentage","DOUBLE","true","[CLICK_TYPE, CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"CONV_VALUE_PER_COST","コンバージョンの価値/コスト","Conv. Value Per Cost","convValuePerCost","DOUBLE","true","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"ALL_CONV_VALUE_PER_COST","すべてのコンバージョンの価値/コスト","All Conv. Value Per Cost","allConvValuePerCost","DOUBLE","true","[CONVERSION_NAME, MONTH_OF_YEAR, OBJECT_OF_CONVERSION_TRACKING]","Metric","","",
"ASSET_TITLE1","タイトル1（アセット）","Title 1 (asset)","assetTitle1","STRING","true",,"Attribute","","",
"ASSET_TITLE2","タイトル2（アセット）","Title 2 (asset)","assetTitle2","STRING","true",,"Attribute","","",
"ASSET_TITLE3","タイトル3（アセット）","Title 3 (asset)","assetTitle3","STRING","true",,"Attribute","","",
"ASSET_TITLE4","タイトル4（アセット）","Title 4 (asset)","assetTitle4","STRING","true",,"Attribute","","",
"ASSET_TITLE5","タイトル5（アセット）","Title 5 (asset)","assetTitle5","STRING","true",,"Attribute","","",
"ASSET_TITLE6","タイトル6（アセット）","Title 6 (asset)","assetTitle6","STRING","true",,"Attribute","","",
"ASSET_TITLE7","タイトル7（アセット）","Title 7 (asset)","assetTitle7","STRING","true",,"Attribute","","",
"ASSET_TITLE8","タイトル8（アセット）","Title 8 (asset)","assetTitle8","STRING","true",,"Attribute","","",
"ASSET_TITLE9","タイトル9（アセット）","Title 9 (asset)","assetTitle9","STRING","true",,"Attribute","","",
"ASSET_TITLE10","タイトル10（アセット）","Title 10 (asset)","assetTitle10","STRING","true",,"Attribute","","",
"ASSET_TITLE11","タイトル11（アセット）","Title 11 (asset)","assetTitle11","STRING","true",,"Attribute","","",
"ASSET_TITLE12","タイトル12（アセット）","Title 12 (asset)","assetTitle12","STRING","true",,"Attribute","","",
"ASSET_TITLE13","タイトル13（アセット）","Title 13 (asset)","assetTitle13","STRING","true",,"Attribute","","",
"ASSET_TITLE14","タイトル14（アセット）","Title 14 (asset)","assetTitle14","STRING","true",,"Attribute","","",
"ASSET_TITLE15","タイトル15（アセット）","Title 15 (asset)","assetTitle15","STRING","true",,"Attribute","","",
"ASSET_DESCRIPTION1","説明文1（アセット）","Description 1 (asset)","assetDescription1","STRING","true",,"Attribute","","",
"ASSET_DESCRIPTION2","説明文2（アセット）","Description 2 (asset)","assetDescription2","STRING","true",,"Attribute","","",
"ASSET_DESCRIPTION3","説明文3（アセット）","Description 3 (asset)","assetDescription3","STRING","true",,"Attribute","","",
"ASSET_DESCRIPTION4","説明文4（アセット）","Description 4 (asset)","assetDescription4","STRING","true",,"Attribute","","",
